date,holiday,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2016-01-01,1,122.29,119.68,117.44,116.18,115.43,117.52,114.61,114.68,113.34,114.83,117.74,120.5,123.11,124.76,128.11,134.31,138.26,142.59,139.38,133.78,131.99,129.31,124.98,121.25
2016-01-02,0,5.0,73.86,112.14,95.28,84.09,88.86,94.16,103.19,120.27,117.29,119.15,119.23,118.41,119.23,119.3,119.3,121.02,123.18,122.14,119.97,120.5,118.11,118.03,114.23
2016-01-03,1,52.15,-0.07,1.72,33.65,30.74,50.44,5.6,31.86,67.97,118.78,124.6,123.03,122.14,121.99,121.99,121.62,122.74,128.48,125.57,122.96,122.59,122.59,127.06,107.66
2016-01-04,0,102.81,95.28,78.79,28.87,23.88,64.69,134.37,145.79,152.88,152.88,152.73,150.27,148.1,147.95,148.33,149.89,155.12,157.21,153.25,147.51,142.13,138.03,132.14,127.06
2016-01-05,0,131.92,129.31,128.64,129.23,131.77,133.71,140.28,153.04,168.48,162.14,162.51,161.47,156.02,153.78,153.93,154.53,156.39,158.41,154.3,152.81,148.41,144.68,139.75,134.08
2016-01-06,0,149.38,146.47,144.23,144.38,145.57,147.81,152.96,164.6,187.95,210.71,260.92,283.16,278.83,273.16,221.97,210.18,210.63,220.85,210.33,200.49,185.56,164.6,152.73,144.53
2016-01-07,0,163.67,162.26,160.39,160.54,161.14,161.29,165.31,207.39,227.38,218.88,218.35,201.72,212.16,194.56,185.38,176.06,171.58,185.16,170.83,161.96,158.53,160.17,158.3,151.14
2016-01-08,0,90.4,128.52,103.68,90.33,96.89,126.65,164.25,208.78,208.7,198.41,190.58,192.14,187.44,190.8,205.87,229.81,268.3,324.91,339.16,289.48,213.1,187.15,181.4,169.02
2016-01-09,0,182.82,174.84,169.99,167.75,163.8,165.96,167.01,171.33,178.64,184.24,197.59,200.87,196.32,188.86,185.36,194.9,207.88,216.98,207.88,183.72,172.53,168.35,164.62,158.58
2016-01-10,1,116.22,142.1,146.58,144.94,143.59,144.64,144.19,145.98,145.38,150.31,153.66,161.05,162.84,159.11,155.01,160.0,178.43,193.65,185.89,181.56,177.46,171.86,166.64,161.79
2016-01-11,0,159.41,149.49,147.55,144.41,145.91,161.65,180.82,300.46,342.61,328.21,312.85,303.0,308.15,306.51,287.93,279.73,283.08,333.36,319.86,288.83,207.89,189.84,171.94,161.72
2016-01-12,0,157.48,147.78,142.49,137.34,141.74,150.62,176.5,259.38,294.89,305.86,288.4,271.99,261.1,248.42,240.29,246.18,269.16,312.87,300.86,221.49,194.33,184.71,173.82,160.46
2016-01-13,0,156.67,146.67,138.77,139.21,134.66,155.4,175.47,205.16,223.67,229.26,234.63,250.37,253.58,254.33,253.81,279.32,295.29,320.8,314.98,289.92,220.98,201.21,189.65,171.22
2016-01-14,0,175.4,168.46,165.78,164.36,168.09,178.31,215.47,238.44,335.66,308.8,260.75,247.55,232.55,250.08,227.03,214.05,219.64,271.64,299.92,234.27,221.36,217.11,198.53,187.34
2016-01-15,0,138.04,179.37,173.7,170.64,171.17,171.47,196.61,198.85,312.94,320.4,321.81,350.32,321.96,313.76,298.39,268.84,283.54,337.71,346.96,323.31,251.38,218.92,202.73,186.24
2016-01-16,0,197.68,191.78,185.36,181.63,179.32,184.39,180.44,182.3,198.35,236.03,249.17,247.97,217.6,196.33,190.06,191.03,224.76,287.3,289.16,226.03,195.36,187.08,184.47,175.66
2016-01-17,1,155.67,151.12,154.92,156.49,155.89,156.26,150.15,166.79,175.52,183.43,197.31,203.43,193.73,193.8,190.74,197.16,238.35,294.69,319.4,283.43,240.52,195.37,191.04,182.01
2016-01-18,0,158.06,175.14,175.82,175.07,175.44,180.97,201.11,343.35,372.98,377.15,372.45,361.48,338.95,334.54,325.74,356.33,358.72,451.85,416.41,318.2,245.74,194.32,185.22,177.09
2016-01-19,0,0.07,23.06,174.03,177.47,182.17,193.21,238.07,244.48,484.34,487.7,457.55,458.45,440.16,436.8,416.5,414.19,406.13,522.93,559.49,429.56,360.01,281.35,245.23,217.02
2016-01-20,0,194.39,190.66,192.3,184.99,192.23,198.05,244.01,411.02,455.79,436.02,440.05,418.93,437.28,429.67,410.05,391.17,537.35,692.12,590.19,522.58,373.86,298.94,250.13,221.1
2016-01-21,0,221.26,207.61,198.88,201.19,204.99,217.08,304.32,522.45,634.69,623.42,559.24,523.27,447.08,430.51,432.75,455.59,428.57,575.58,641.85,434.39,351.04,261.49,213.43,198.2
2016-01-22,0,178.72,179.02,178.28,177.75,177.75,178.13,199.32,244.99,379.24,360.73,282.82,228.27,214.54,206.26,193.65,182.68,182.75,193.72,182.6,178.13,171.49,170.89,169.02,167.38
2016-01-23,0,163.71,162.29,161.47,162.51,163.78,163.41,160.13,168.63,174.75,182.29,191.24,193.55,193.11,185.42,182.88,183.56,194.23,203.93,197.73,189.15,183.03,173.78,168.18,169.45
2016-01-24,1,162.5,156.23,154.52,153.55,154.29,157.28,155.93,159.67,164.29,163.69,167.35,168.84,167.65,166.01,165.63,168.54,178.54,189.96,189.14,179.81,171.53,166.83,163.92,162.05
2016-01-25,0,149.74,146.61,146.83,149.07,151.68,159.07,177.35,224.35,252.78,204.95,250.17,214.58,186.0,209.06,187.12,185.63,189.21,193.84,182.2,169.14,163.77,158.77,144.0,135.12
2016-01-26,0,126.54,122.51,118.63,118.7,122.51,126.54,134.6,140.42,144.52,144.44,144.52,144.07,142.88,142.58,142.65,143.03,145.12,146.76,144.37,139.97,137.66,135.64,149.82,100.2
2016-01-27,0,81.84,23.72,0.37,0.97,65.8,99.22,129.29,142.64,133.99,133.17,133.47,132.13,131.23,131.75,131.75,131.45,133.02,135.04,133.47,131.23,128.99,127.72,121.9,104.15
2016-01-28,0,108.2,95.74,96.11,90.59,98.5,121.26,128.05,131.11,133.5,132.82,132.67,131.78,130.96,131.11,130.73,131.26,132.45,135.66,133.27,130.88,128.42,127.38,123.12,119.54
2016-01-29,0,119.83,116.47,114.53,115.65,116.55,121.7,126.7,130.73,132.74,131.7,130.58,129.08,127.14,124.76,123.19,120.88,122.07,124.91,124.01,120.43,114.91,113.41,108.94,76.78
2016-01-30,0,105.07,62.68,5.9,2.875,-0.15,-0.3,-22.16,63.5,92.68,102.83,113.35,112.01,106.48,108.95,106.56,114.69,119.62,135.81,131.11,128.27,125.29,120.96,115.59,89.55
2016-01-31,1,62.9,22.68,37.98,6.34,-2.01,0.22,0.6,45.07,62.16,79.02,88.87,109.54,120.74,93.28,104.17,106.93,119.99,159.99,137.82,136.93,134.54,131.41,130.44,122.75
2016-02-01,0,121.71,115.14,116.18,117.45,103.5,106.41,177.45,196.25,261.92,158.49,147.08,141.03,138.72,137.23,135.58,134.09,134.99,137.6,135.21,132.6,129.47,109.17,105.66,62.98
2016-02-02,0,30.3,2.24,-19.85,-14.33,0.67,71.04,117.0,141.63,136.78,135.66,134.99,134.24,132.97,133.2,132.75,133.57,136.26,138.87,137.82,133.79,130.81,126.48,105.81,71.11
2016-02-03,0,102.61,86.42,60.37,51.72,67.46,102.53,149.18,140.07,144.03,143.21,142.31,141.12,139.1,138.8,138.21,137.01,138.73,141.94,140.67,137.76,134.33,130.67,127.46,123.95
2016-02-04,0,125.06,122.22,119.31,114.09,103.94,126.92,133.79,149.83,147.07,145.87,145.5,142.07,139.76,138.71,138.34,138.93,141.32,149.16,149.01,144.76,140.8,137.74,134.46,130.88
2016-02-05,0,132.31,131.34,131.19,133.13,135.22,137.54,145.07,188.88,272.31,225.37,190.37,155.97,152.01,148.36,147.31,147.01,148.36,157.09,152.31,147.09,142.68,137.39,133.51,129.48
2016-02-06,0,74.4,116.04,119.47,106.93,102.83,104.32,112.3,119.99,121.78,123.72,124.92,123.12,120.07,115.51,114.69,114.1,125.74,133.8,132.9,128.27,119.92,94.84,112.23,87.61
2016-02-07,1,37.39,44.62,41.94,22.76,6.94,0.6,0.37,8.43,42.83,59.77,96.41,102.9,103.28,90.96,87.75,74.7,99.4,124.17,128.2,125.36,121.18,102.9,112.23,69.32
2016-02-08,0,74.77,59.62,39.1,8.66,10.45,54.62,91.93,120.66,123.5,122.45,123.57,123.95,122.01,120.14,120.51,122.01,118.95,132.9,129.09,133.94,113.72,113.57,96.63,72.53
2016-02-09,0,-19.77,-5.3,-5.45,-0.15,0.3,20.82,126.71,132.9,134.09,133.27,132.3,131.41,130.96,131.93,132.38,134.47,136.48,140.74,140.29,139.17,137.9,135.66,136.78,119.32
2016-02-10,0,122.33,119.64,119.64,119.57,120.54,120.91,140.69,146.59,149.2,150.02,162.33,158.3,148.15,147.03,149.12,146.81,155.47,233.83,214.28,148.97,144.94,140.61,133.9,128.45
2016-02-11,0,132.28,130.34,126.23,126.68,131.83,135.12,145.79,178.19,184.61,156.54,153.85,151.54,149.9,149.6,148.78,148.33,150.05,218.72,268.59,152.58,148.78,144.52,138.1,133.55
2016-02-12,0,133.81,132.32,131.57,132.54,134.33,137.54,146.95,217.02,269.41,252.62,250.68,182.32,161.87,182.4,149.86,148.29,151.5,257.92,301.21,265.38,146.27,142.17,138.07,134.33
2016-02-13,0,137.45,134.84,132.75,133.12,133.72,135.29,133.64,135.96,136.85,141.55,142.9,142.6,140.81,138.79,138.42,138.2,143.35,152.9,153.12,146.48,142.6,138.42,137.82,125.96
2016-02-14,1,97.47,125.16,123.52,123.07,124.04,125.61,126.43,126.2,127.84,130.98,130.68,134.41,132.02,129.41,121.43,112.92,126.58,158.29,142.25,139.64,136.43,133.96,132.77,130.76
2016-02-15,0,123.67,119.41,119.19,121.13,94.63,109.34,138.52,223.37,219.94,236.36,225.09,163.59,153.82,150.23,146.28,144.71,151.13,207.25,219.72,165.61,147.32,141.13,137.85,133.14
2016-02-16,0,135.98,135.38,135.01,136.27,139.18,141.27,178.07,294.49,314.04,316.58,277.85,260.16,231.65,213.37,195.61,178.37,189.49,294.49,200.98,165.53,146.8,140.16,136.2,130.9
2016-02-17,0,111.88,128.3,126.88,128.0,130.76,133.22,137.25,145.99,154.2,149.57,147.85,143.3,141.06,140.46,139.49,139.42,139.94,145.54,147.48,141.36,138.0,135.98,133.15,130.24
2016-02-18,0,133.9,135.02,135.09,137.11,141.96,146.36,153.82,258.76,288.09,248.02,191.07,181.66,177.41,177.78,168.01,163.23,169.57,191.96,191.74,169.72,151.21,147.93,142.63,135.54
2016-02-19,0,137.99,135.53,135.3,138.51,142.32,141.72,151.72,181.95,266.28,191.8,181.05,159.93,155.83,152.39,150.83,148.51,147.92,150.75,151.5,148.59,142.1,136.2,131.95,127.24
2016-02-20,0,30.15,125.51,86.11,72.31,71.04,37.39,37.76,67.83,64.85,100.22,122.08,126.86,126.56,118.95,117.68,119.77,120.51,141.71,138.5,136.18,141.48,103.87,87.98,59.92
2016-02-21,1,69.92,48.65,37.98,23.43,3.43,0.97,-0.37,0.97,41.94,80.66,97.53,111.48,111.56,79.1,57.53,36.94,57.38,129.17,138.87,135.81,116.03,123.12,104.02,69.47
2016-02-22,0,0.75,0.15,-6.87,-0.45,0.3,56.94,134.69,150.43,153.19,152.22,150.51,148.57,146.11,143.87,142.3,143.49,146.03,151.25,152.37,150.06,144.32,139.91,135.81,131.93
2016-02-23,0,132.88,106.55,128.56,130.35,133.03,142.43,148.48,157.13,162.8,158.25,156.16,154.75,154.45,153.92,152.43,151.01,151.98,156.39,159.22,155.12,150.94,145.49,141.02,133.56
2016-02-24,0,134.6,127.28,126.76,127.51,133.25,141.16,149.22,158.84,161.31,159.96,158.7,156.98,155.56,153.77,153.1,153.1,154.29,159.22,164.37,159.74,157.43,152.65,145.71,140.49
2016-02-25,0,111.92,140.72,140.42,141.99,145.2,155.35,160.87,262.49,285.4,256.97,233.91,221.68,193.4,189.44,177.81,177.36,177.58,232.5,290.62,261.75,176.39,158.18,151.17,142.89
2016-02-26,0,20.52,137.74,137.51,138.78,144.3,151.39,156.47,198.55,261.97,241.82,211.75,174.9,160.64,156.91,154.97,153.41,154.9,176.84,250.26,164.97,155.42,151.17,146.91,142.29
2016-02-27,0,146.81,144.87,143.52,142.7,143.15,145.61,146.28,146.96,148.52,148.75,149.34,148.0,145.39,143.08,142.11,142.41,144.72,148.15,151.73,149.04,146.81,144.12,143.23,140.17
2016-02-28,1,144.86,137.17,134.34,133.97,133.37,134.49,134.94,135.46,137.25,141.87,142.02,141.87,136.65,135.68,134.56,133.82,118.38,142.54,179.02,164.17,154.18,147.09,147.62,145.75
2016-02-29,0,142.62,132.55,134.49,134.34,126.88,137.92,181.11,257.79,245.85,208.78,185.88,175.14,165.74,161.27,157.31,156.34,156.34,172.45,181.26,164.7,158.21,149.26,146.57,140.45
2016-03-01,0,143.75,142.11,141.51,141.96,144.12,147.48,149.12,175.3,185.37,163.96,156.65,151.66,149.04,148.15,147.4,146.58,146.58,148.15,148.97,147.55,145.31,142.41,137.18,127.26
2016-03-02,0,78.91,101.13,126.79,127.09,111.05,118.21,159.98,172.13,177.35,177.65,177.06,177.06,183.54,187.72,187.12,177.13,164.97,200.85,215.02,197.27,172.06,153.56,148.19,144.09
2016-03-03,0,130.27,142.43,139.0,134.08,136.16,144.52,166.96,190.0,224.08,193.58,181.21,175.09,178.0,174.57,171.88,168.45,166.07,183.74,208.5,169.5,160.18,156.97,153.09,147.5
2016-03-04,0,148.47,145.79,143.77,143.1,141.61,150.49,159.88,195.68,245.27,218.65,199.03,177.33,167.64,162.42,159.51,159.29,158.69,163.24,164.51,159.14,156.9,154.14,150.19,147.13
2016-03-05,0,22.01,143.01,142.04,141.44,140.84,141.81,142.64,147.93,151.59,155.76,157.18,156.59,155.02,150.92,148.68,148.53,153.08,156.36,159.35,157.48,153.75,152.26,148.68,145.62
2016-03-06,1,149.43,145.18,142.72,139.44,138.62,140.48,139.14,140.11,143.84,149.14,151.15,153.01,149.36,142.79,140.56,140.48,139.74,153.46,170.32,163.16,157.64,156.22,151.45,146.15
2016-03-07,0,148.69,147.27,146.45,145.55,147.64,156.75,160.33,180.39,191.81,213.74,205.69,191.59,187.86,185.84,180.69,170.85,174.13,200.46,223.67,196.14,174.05,162.49,158.31,155.33
2016-03-08,0,156.75,153.84,153.54,154.13,156.52,160.77,176.37,240.97,281.63,254.7,213.44,189.65,186.51,183.83,180.62,182.71,176.52,222.1,261.34,242.76,178.31,171.37,159.51,154.43
2016-03-09,0,156.97,153.61,151.22,149.81,149.28,157.71,166.15,185.24,217.85,186.74,174.8,177.93,166.22,163.83,165.32,167.86,172.04,182.33,206.73,184.42,174.35,166.15,161.0,156.75
2016-03-10,0,147.12,150.48,149.51,150.41,156.22,161.15,175.17,190.69,232.99,218.82,186.14,181.89,184.05,181.89,179.5,179.28,179.28,184.65,199.79,190.02,180.77,174.28,165.4,158.39
2016-03-11,0,160.36,155.52,156.86,157.08,162.23,167.0,182.59,257.1,285.97,273.66,245.47,238.53,222.35,196.76,184.53,181.4,181.1,203.1,242.78,241.89,181.55,182.14,173.27,164.62
2016-03-12,0,167.61,166.57,166.2,166.2,167.09,169.11,169.48,170.52,175.07,184.92,184.92,181.19,171.79,167.69,166.2,165.82,166.94,178.66,193.5,181.71,169.55,169.11,168.73,167.02
2016-03-13,1,167.51,164.9,161.61,156.99,157.51,160.12,159.08,161.09,162.88,164.67,165.34,164.75,161.02,155.95,154.75,154.68,158.33,157.89,180.86,178.1,170.04,167.36,166.76,164.67
2016-03-14,0,157.89,153.56,150.8,151.02,151.84,163.48,172.88,182.72,198.01,182.87,214.94,178.77,173.47,170.34,168.18,167.73,166.91,182.35,182.27,175.34,167.88,165.94,164.23,157.36
2016-03-15,0,153.63,151.09,151.61,150.94,155.57,163.02,167.05,178.39,181.22,179.65,179.43,178.31,173.91,171.15,168.24,166.53,165.93,171.52,179.28,179.06,169.51,166.23,163.47,156.24
2016-03-16,0,154.41,152.24,151.13,149.56,152.77,160.97,166.86,173.34,178.71,177.22,167.6,167.23,165.22,162.9,163.28,162.46,163.72,176.1,191.09,186.24,166.04,163.95,159.33,153.44
2016-03-17,0,154.25,150.38,151.2,153.29,157.24,164.47,167.0,176.7,186.91,181.77,172.3,170.51,166.85,165.51,165.14,164.54,165.21,166.78,169.54,168.87,166.18,164.84,161.19,155.97
2016-03-18,0,151.4,145.14,145.29,146.63,150.13,160.87,165.19,170.11,174.06,171.16,167.2,166.76,165.34,164.07,164.15,164.15,164.52,165.94,168.84,169.14,166.83,164.97,162.14,157.44
2016-03-19,0,158.83,157.71,157.56,158.46,158.76,160.4,160.92,162.18,162.78,166.06,164.94,163.15,159.87,157.49,153.91,152.2,154.95,161.74,165.46,165.46,161.89,160.47,158.83,154.36
2016-03-20,1,132.14,127.0,138.85,143.47,144.29,146.38,147.12,146.75,148.46,151.3,153.46,153.98,152.94,150.63,150.18,150.1,149.43,141.76,175.44,165.38,162.92,160.54,158.53,151.52
2016-03-21,0,151.22,148.31,147.49,148.31,152.04,158.97,161.58,164.79,166.35,165.61,165.16,163.97,162.77,161.88,160.76,160.61,160.69,163.07,165.38,165.83,164.49,162.85,160.84,155.77
2016-03-22,0,151.13,149.64,149.41,152.54,156.49,160.14,161.78,165.73,179.59,179.3,179.22,172.07,161.93,166.33,164.54,164.91,162.16,163.65,165.21,165.66,164.84,163.42,159.55,155.82
2016-03-23,0,155.69,152.86,151.0,153.23,155.54,158.23,160.98,163.52,165.61,164.41,163.82,163.15,161.88,161.28,160.76,160.31,160.61,162.18,166.05,173.13,166.28,163.0,160.91,157.56
2016-03-24,1,159.11,156.43,154.27,155.46,158.22,162.61,161.5,162.46,164.63,163.28,162.09,160.97,158.74,156.58,155.01,154.12,154.19,155.53,156.88,157.55,157.1,155.31,153.0,151.29
2016-03-25,1,154.3,151.17,150.94,149.01,149.15,151.32,151.02,151.99,155.19,156.91,156.91,155.79,154.67,152.21,151.39,151.17,151.76,152.58,155.27,156.61,155.04,153.11,152.43,150.2
2016-03-26,0,155.19,153.11,152.29,149.08,149.08,149.15,149.15,152.58,155.64,157.35,155.86,148.86,142.07,136.11,121.43,117.4,118.15,144.53,149.97,149.75,148.63,134.1,133.5,109.28
2016-03-27,1,54.64,22.66,34.065,45.47,29.97,29.97,6.78,34.51,55.91,66.42,129.03,129.4,125.3,119.41,115.02,115.69,119.11,126.94,130.74,146.1,152.29,148.11,145.35,137.9
2016-03-28,1,96.01,61.72,55.38,48.45,39.28,46.81,43.68,44.43,29.74,25.42,19.98,0.52,-5.74,-90.72,-99.66,-100.26,-100.18,-31.31,55.53,87.88,126.87,85.5,121.43,96.75
2016-03-29,0,85.8,68.13,89.08,68.8,61.87,100.55,176.29,168.16,159.29,159.29,158.32,156.98,152.29,149.01,147.81,146.99,142.67,160.11,158.02,159.07,159.52,157.58,152.81,149.68
2016-03-30,0,151.32,150.05,150.57,148.48,150.42,157.13,161.53,165.55,172.49,167.94,163.91,162.72,161.3,160.86,160.34,159.44,159.07,160.34,161.68,163.09,163.24,161.68,159.14,156.83
2016-03-31,0,153.15,150.84,150.24,150.69,153.6,160.53,166.04,179.46,185.57,185.79,179.83,179.23,164.1,175.06,148.6,160.38,159.41,160.01,160.75,161.5,162.32,161.64,158.66,152.25
2016-04-01,0,154.15,151.32,151.54,150.05,153.63,158.4,164.36,180.82,198.7,249.0,238.86,215.92,187.53,163.39,161.97,161.08,160.71,161.6,192.97,163.09,163.39,162.12,160.19,156.91
2016-04-02,0,143.49,154.96,153.47,147.81,148.33,149.67,150.42,154.89,157.49,158.91,155.03,149.6,147.29,147.21,144.23,143.64,141.25,149.89,166.21,161.81,160.55,159.28,157.72,155.85
2016-04-03,1,145.89,134.57,138.22,137.92,136.21,137.03,137.25,138.29,141.72,144.55,146.86,147.68,143.65,142.84,142.61,145.81,149.84,143.65,157.8,172.4,163.99,161.45,159.22,154.23
2016-04-04,0,152.67,145.89,142.69,142.61,144.03,151.85,166.44,178.58,201.37,233.84,213.51,180.96,169.87,173.22,171.95,167.49,167.41,169.05,170.61,170.69,175.01,169.12,163.99,158.1
2016-04-05,0,150.48,149.22,149.07,147.58,149.52,158.3,170.29,238.12,256.22,253.76,247.8,239.31,197.02,193.15,179.82,175.8,174.16,188.09,175.73,184.74,180.86,171.7,166.42,158.38
2016-04-06,0,148.8,142.85,141.81,140.99,141.51,148.8,160.7,170.3,173.5,170.45,168.74,163.46,158.1,154.16,153.41,150.36,149.47,160.63,161.45,162.79,163.53,159.66,149.92,141.43
2016-04-07,0,122.16,119.04,118.59,114.72,125.14,129.23,165.54,160.85,163.9,163.16,160.33,159.66,158.84,158.17,157.65,155.94,156.76,157.95,159.74,162.56,162.71,159.89,155.94,149.02
2016-04-08,0,145.47,143.54,143.16,143.61,146.14,151.2,158.34,168.39,177.02,177.32,175.01,171.07,170.18,168.24,165.86,161.25,161.4,162.59,165.56,165.04,164.07,163.93,159.68,155.96
2016-04-09,0,157.75,155.0,154.1,154.7,154.55,156.41,158.94,159.24,164.52,167.5,166.68,165.56,162.44,154.85,150.31,151.42,151.05,165.71,168.02,167.57,166.38,164.74,161.77,158.12
2016-04-10,1,157.22,149.03,146.8,145.76,145.83,145.09,145.46,146.28,150.45,156.03,156.62,156.7,150.89,149.7,149.03,149.33,152.16,154.69,154.61,166.96,163.39,162.87,162.5,145.61
2016-04-11,0,148.96,144.35,143.82,145.39,151.04,138.02,185.94,184.23,215.63,197.55,178.87,170.83,167.56,166.37,164.58,162.43,164.14,166.3,166.59,167.04,168.38,166.44,162.43,157.52
2016-04-12,0,154.34,151.96,151.59,151.59,153.67,159.62,165.58,174.06,185.97,182.25,170.64,168.33,166.99,166.77,166.1,165.28,164.76,165.58,165.95,166.99,167.96,167.44,164.09,160.29
